original_brand,original_link,original_pic,original_type,original_name,original_highlights,original_description,original_callout,dupe_brand,dupe_link,dupe_pic,dupe_name,dupe_highlights,dupe_description,dupe_callout
Laneige,https://www.sephora.com/product/cream-skin-toner-moisturizer-P446930?skuId=2258812&icid2=products%20grid:p446930:product,https://www.sephora.com/productimages/sku/s2258812-main-zoom.jpg?imwidth=630,Moisturizer,Cream Skin Toner & Moisturizer,"Hydrating
Best for Dry Skin
Hypoallergenic
Fragrance Free
Without Mineral Oil",A two-in-one formula that preps and softens like a toner and moisturizes like a cream for maximum hydration benefits in one simple step.,"Free of parabens, phthalates, and mineral oil, and contains less than one percent of synthetic fragrances.",Tatcha,https://www.sephora.com/product/the-dewy-skin-cream-P441101?skuId=2181006&icid2=products%20grid:p441101:product,https://www.sephora.com/productimages/sku/s2181006-main-zoom.jpg?imwidth=630,The Dewy Skin Cream Plumping & Hydrating Moisturizer,"Hyaluronic Acid 
Community Favorite 
Plumping
HydratingClean at Sephora 
Good for: Dryness","A rich cream that feeds skin with plumping hydration and antioxidant-packed Japanese purple rice for a dewy, healthy glow.","This product is cruelty-free, and gluten-free."
Fenty Beauty,https://www.sephora.com/product/match-stix-matte-skinstick-P18975403?skuId=2340321&icid2=products%20grid:p18975403:product,https://www.sephora.com/productimages/sku/s2340321-main-zoom.jpg?imwidth=630,Contour Stick,Match Stix Matte Contour Skinstick,"Vegan 
Stick Formula
Community Favorite
Long-wearing
Matte Finish",A matte contour stick in a range of shades for all skin tones. The buildable cream-to-powder long-wear formula is lightweight and blendable.,"Free of Parabens and Phthalates. This product is also vegan, gluten-free, and cruelty-free.",Westman Atelier,https://www.sephora.com/product/westman-atelier-face-trace-contour-stick-P468433?skuId=2434108&icid2=products%20grid:p468433:product,https://www.sephora.com/productimages/sku/s2434108-main-zoom.jpg?imwidth=630,Face Trace Cream Contour Stick,"Clean at Sephora 
Stick Formula
Vegan
Natural Finish","A clean, creamy contour stick with a blendable, natural satin finish that sculpts and defines cheekbones in an instant.","This product is vegan, gluten-free, and cruelty-free."
Anastasia Beverly Hills,https://www.sephora.com/product/anastasia-beverly-hills-diamond-lip-gloss-P468343,https://www.sephora.com/productimages/sku/s2650935-main-zoom.jpg?imwidth=630,Lip Gloss,Tinted Lip Gloss,"Without Phthalates
Without Parabens
Without Sulfates SLS & SLES
Cruelty-Free","A fully-pigmented, weightless lip gloss formula in lacquer and luster finishes",Free of parabens. It is also vegan and cruelty-free.,Tower 28 Beauty,https://www.sephora.com/product/shineon-lip-jelly-P448854,https://www.sephora.com/productimages/sku/s2549970-main-zoom.jpg?imwidth=630,ShineOn Lip Jelly Non-Sticky Gloss,,"A bestselling, non-sticky, moisturizing gloss for soft, shiny lips.","This product is vegan, cruelty-free, and gluten-free."
Too Faced,https://www.sephora.com/product/better-than-sex-mascara-P381000?skuId=1533439&icid2=products%20grid:p381000:product,https://www.sephora.com/productimages/sku/s1533439-main-zoom.jpg?imwidth=630,Mascara,Better Than Sex Volumizing and Lengthening,"Vegan
Volumizing
Community Favorite
Lengthening
Curling","A mind-blowing mascara that features a formula that thickens, lengthens, and curls for extreme volume and dramatic lashes.","Free of parabens. It is also vegan, gluten-free, and cruelty-free.",ILIA,https://www.sephora.com/product/limitless-lash-mascara-P431750?skuId=2335198&icid2=products%20grid:p431750:product,https://www.sephora.com/productimages/sku/s2335198-main-zoom.jpg?imwidth=630,Limitless Lash Lengthening Clean Mascara,"allure 2019: Clean Beauty Winner
Community Favorite
Clean at Sephora
Long-wearing
Lengthening
Cruelty-Free","A clean, award-winning, cult-favorite mascara that lifts, lengthens, holds curl, and separates with precision.","Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, and triclosa, and contains less than one percent of synthetic fragrances. This product is also cruelty-free and gluten-free, and comes in recyclable packaging."
Nars,https://www.sephora.com/product/nars-light-reflecting-advance-skincare-foundation-P479338?skuId=2514586&icid2=products%20grid:p479338:product,https://www.sephora.com/productimages/sku/s2514586-main-zoom.jpg?imwidth=630,Foundation,Light Reflecting Advanced Skincare Foundation,"Liquid Formula
Medium Coverage
Natural Finish
Good for: Redness
Good for: Dullness/Uneven Texture
Good for: Dark spots",An advanced makeup-skincare-hybrid foundation with a natural finish that quickly blurs and smooths while visibly improving skin’s clarity over time.,"Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and comes in recyclable packaging.",Haus Labs,https://www.sephora.com/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185?skuId=2597268&icid2=products%20grid:p502185:product,https://www.sephora.com/productimages/sku/s2597268-main-zoom.jpg?imwidth=630,Triclone Skin Tech Medium Coverage Foundation with Fermented Arnica,"Natural Finish
Liquid Formula
Long-wearing
Medium Coverage
Hypoallergenic","A medium coverage, weightless, clean foundation with fermented arnica that helps reduce redness and protects from environmental stress.","This product is vegan, gluten-free, and cruelty-free."
Tarte,https://www.sephora.com/product/tarte-tartelette-trade-spark-amazonian-clay-palette-P504573?skuId=2641157&icid2=products%20grid:p504573:product,https://www.sephora.com/productimages/sku/s2641157-main-zoom.jpg?imwidth=630,Eyeshadow,tartelette™ spark Amazonian clay palette,"Vegan
Pressed Powder Formula
Long-wearing
Gluten Free
Cruelty-Free",A pocket-perfect tartelette™ spark Amazonian clay eyeshadow palette packed with six shades to define and energize your eyes.,"Free of parabens, formaldehydes, mineral oil, oxybenzone, coal tar, hydroquinone, triclocarban, and triclosan. It is also vegan, gluten-free, and cruelty-free.",Bare Minerals,https://www.sephora.com/product/bareminerals-mineralist-eyeshadow-palette-P473841?skuId=2477206&icid2=products%20grid:p473841:product,https://www.sephora.com/productimages/sku/s2477206-main-zoom.jpg?imwidth=630,Mineralist Eyeshadow Palette,"Pressed Powder Formula
Vegan
Long-wearing
Cruelty-Free","A clean, vegan, talc-free eyeshadow palette featuring six richly pigmented, non-creasing shades in a range of finishes—and fully recyclable packaging.","These products are vegan, gluten-free, cruelty-free, and come in recyclable packaging."
Rare Beauty,https://www.sephora.com/product/rare-beauty-by-selena-gomez-positive-light-liquid-luminizer-highlight-P38855877?skuId=2362168&icid2=products%20grid:p38855877:product,https://www.sephora.com/productimages/sku/s2362168-main-zoom.jpg?imwidth=630,Highlight,Positive Light Liquid Luminizer Highlight,"Light Coverage
Liquid Formula
Shimmer Finish
Long-wearing
Without Parabens 
Vegan","A silky, second-skin liquid highlighter that creates a lasting, soft, and luminous finish.","Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan and cruelty-free.",Saie,https://www.sephora.com/product/saie-mini-glowy-super-gel-lightweight-dewy-highlighter-P468207?skuId=2414175&icid2=products%20grid:p468207:product,https://www.sephora.com/productimages/sku/s2414175-main-zoom.jpg?imwidth=630,Mini Glowy Super Gel Lightweight Dewy Highlighter,"Vegan
Radiant Finish
Liquid Formula
Clean Plus Planet Positive
Without Silicones","An illuminating gel-based luminizer made of 75 percent water that can be mixed with skincare, foundation, or worn alone for a fresh, dewy look.","This product is gluten-free, cruelty-free."
Tarte,https://www.sephora.com/product/creaseless-concealer-P433206?skuId=2094548&icid2=products%20grid:p433206:product,https://www.sephora.com/productimages/sku/s2094548-main-zoom.jpg?imwidth=630,Concealer,Maracuja Creaseless Concealer,"Vegan
Radiant Finish
Good for: Redness
Good for: Dark Circles
Hydrating
Full Coverage","A vegan, full-coverage, creamy under-eye concealer with 30 shades and a new applicator that’s totally foolproof—you don’t need a lot, just one dot.","Free of parabens, phthalates, mineral oil, and triclosan. This product is also vegan, cruelty-free, and gluten-free.",Kosas,https://www.sephora.com/product/kosas-revealer-concealer-P456151?skuId=2333771&icid2=products%20grid:p456151:product,https://www.sephora.com/productimages/sku/s2333771-main-zoom.jpg?imwidth=630,Revealer Super Creamy + Brightening Concealer and Daytime Eye Cream,"Radiant Finish
Liquid Formula
Clean + Planet Positive
Good for: Dark Circles
Medium Coverage
Good for: Acne/Blemishe","A crease-proof, medium-coverage, super creamy concealer, eye cream, and spot treatment in one that visibly brightens and helps reveal better-looking skin.","This product is vegan, cruelty-free, and gluten-free."
Stila,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?skuId=1221084&icid2=products%20grid:p253818:product,https://www.sephora.com/productimages/sku/s1221084-main-zoom.jpg?imwidth=630,Eyeliner,All Day® Waterproof Liquid Eye Liner,"Community Favorite
Long-wearing
Matte Finish
Waterproof
Full Coverage","An easy-application, waterproof liquid liner that stays on all day and night.",,Freck Beauty,https://www.sephora.com/product/freck-beauty-lashrocket-liner-with-lash-enhancing-peptides-P481088?skuId=2529618&icid2=products%20grid:p481088:product,https://www.sephora.com/productimages/sku/s2529618-main-zoom.jpg?imwidth=630,Lashrocket Liquid Liner with Lash Enhancing Peptides,"Vegan
Matte Finish
Long-wearing
Lengthening
Cruelty-Free","A jet-black eyeliner and lash-conditioning serum that’s easy to use, comfortable to wear, and never fades, smudges, or flakes.","This product is vegan, gluten-free, and cruelty-free."
Rare Beauty,https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-liquid-blush-P97989778?skuId=2362101&icid2=products%20grid:p97989778:product,https://www.sephora.com/productimages/sku/s2362101-main-zoom.jpg?imwidth=630,Blush,Soft Pinch Liquid Blush,"Radiant Finish
Liquid Formula
Community Favorite
Matte Finish
Long-wearing
Medium Coverage","A weightless, long-lasting liquid blush that blends and builds beautifully for a soft, healthy flush. Available in matte and dewy finishes.","Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan and cruelty-free.",Saie,https://www.sephora.com/product/saie-dew-blush-liquid-cheek-blush-P469825?skuId=2564730&icid2=products%20grid:p469825:product,https://www.sephora.com/product/saie-dew-blush-liquid-cheek-blush-P469825?skuId=2564730&icid2=products%20grid:p469825:product,Dew Blush Liquid Cheek Blush,"Vegan
Natural Finish
Clean + Planet Positive
Fragrance Free
Without Silicones","A water-based gel blush with a creamy, blendable formula that gives skin a healthy flush of seamless color.","This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging."
The Ordinary,https://www.sephora.com/product/the-ordinary-deciem-niacinamide-10-zinc-1-P427417?skuId=2031391&icid2=products%20grid:p427417:product,https://www.sephora.com/productimages/sku/s2031375-main-zoom.jpg?imwidth=630,Face Serum,Niacinamide 10% + Zinc 1% Oil Control Serum,"Niacinamide
Vegan
Oil Free
Without Silicones
Community Favorite",A high-strength vitamin-and-mineral blemish formula with 10 percent pure niacinamide and one percent zinc PCA.,"Free of parabens, formaldehydes, phthalates, mineral oil, oxybenzone, coal tar, and sulfates SLS & SLES. It is also vegan, gluten-free, and cruelty-free.",Glow Recipe,https://www.sephora.com/product/glow-recipe-watermelon-glow-niacinamide-dew-drops-P466123?skuId=2404846&icid2=products%20grid:p466123:product,https://www.sephora.com/productimages/sku/s2404846-main-zoom.jpg?imwidth=630,Watermelon Glow Niacinamide Dew Drops,"Vegan
Community Favorite
High Shine Finish
Clean + Planet Positive
Niacinamide
Cruelty-Free","A breakthrough, multiuse highlighting serum that hydrates and visibly reduces the look of hyperpigmentation for a dewy, reflective glow—without mica, glitter, or gray cast.","This product is vegan, cruelty-free, and comes in recyclable packaging."